titles  ,  years  ,  genres  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide
Lucy  ,  I 2014  ,  Action; Sci-Fi; Thriller  ,  R  ,  454513  ,  /title/tt2872732/ ,  6.4  ,  61  ,  6.6  ,  6.4  ,  6.3  ,  6.6  ,  6.4  ,  6.6  ,  6.4  ,  6.3  ,  6.6  ,  6.4  ,  6.6  ,  6.5  ,  6.3  ,  6.6  , 43899340  ,  40000000  ,  126663600  ,  332200000  ,  458863600
Her  ,  2013  ,  Drama; Romance; Sci-Fi  ,  R  ,  552265  ,  /title/tt1798709/ ,  8.0  ,  90  ,  8.3  ,  8.2  ,  7.9  ,  7.5  ,  8.0  ,  8.4  ,  8.3  ,  8.0  ,  7.5  ,  7.8  ,  7.9  ,  7.9  ,  7.7  ,  7.2  , 260382  ,  23000000  ,  25568251  ,  22949176  ,  48517427
Don Jon  ,  2013  ,  Comedy; Drama; Romance  ,  R  ,  231005  ,  /title/tt2229499/ ,  6.5  ,  66  ,  6.7  ,  6.6  ,  6.5  ,  6.4  ,  6.6  ,  6.8  ,  6.7  ,  6.6  ,  6.4  ,  6.4  ,  6.5  ,  6.3  ,  6.4  ,  6.5  , 8677009  ,  3000000  ,  24477704  ,  14961651  ,  39439355
Under the Skin  ,  I 2013  ,  Drama; Horror; Sci-Fi  ,  R  ,  132017  ,  /title/tt1441395/ ,  6.3  ,  80  ,  7.8  ,  6.8  ,  6.2  ,  6.0  ,  6.3  ,  7.8  ,  6.8  ,  6.2  ,  6.0  ,  6.0  ,  7.5  ,  6.3  ,  5.9  ,  5.7  , 133154  ,  13300000  ,  2614251  ,  3121712  ,  5735963
The Avengers  ,  2012  ,  Action; Adventure; Sci-Fi  ,  PG-13  ,  1279727  ,  /title/tt0848228/ ,  8.0  ,  69  ,  8.0  ,  8.1  ,  8.0  ,  8.0  ,  8.0  ,  7.9  ,  8.0  ,  8.0  ,  7.9  ,  8.2  ,  8.2  ,  8.2  ,  8.1  ,  8.2  , 207438708  ,  220000000  ,  623357910  ,  895457605  ,  1518815515
Hitchcock  ,  2012  ,  Biography; Drama; Romance  ,  PG-13  ,  72712  ,  /title/tt0975645/ ,  6.8  ,  55  ,  6.9  ,  6.9  ,  6.8  ,  6.9  ,  6.8  ,  6.8  ,  6.8  ,  6.8  ,  6.8  ,  7.0  ,  7.0  ,  7.0  ,  6.9  ,  7.0  , 287715  ,  None  ,  6008677  ,  21030992  ,  27039669
We Bought a Zoo  ,  2011  ,  Comedy; Drama; Family  ,  PG  ,  136543  ,  /title/tt1389137/ ,  7.1  ,  58  ,  6.5  ,  7.2  ,  7.1  ,  7.0  ,  7.0  ,  6.7  ,  7.2  ,  7.0  ,  6.9  ,  7.2  ,  6.0  ,  7.4  ,  7.1  ,  7.2  , 9360434  ,  None  ,  75624550  ,  44457291  ,  120081841
Vicky Cristina Barcelona  ,  2008  ,  Comedy; Drama; Romance  ,  PG-13  ,  244906  ,  /title/tt0497465/ ,  7.1  ,  70  ,  6.1  ,  7.1  ,  7.1  ,  7.0  ,  7.1  ,  6.4  ,  7.1  ,  7.1  ,  7.0  ,  7.1  ,  5.8  ,  7.1  ,  7.1  ,  7.1  , 3755575  ,  None  ,  23216709  ,  73192591  ,  96409300
The Other Boleyn Girl  ,  2008  ,  Biography; Drama; History  ,  PG-13  ,  106171  ,  /title/tt0467200/ ,  6.7  ,  50  ,  6.7  ,  6.8  ,  6.7  ,  6.7  ,  6.6  ,  6.6  ,  6.6  ,  6.6  ,  6.6  ,  6.9  ,  6.8  ,  6.9  ,  6.9  ,  6.9  , 8203061  ,  35000000  ,  26814957  ,  51386873  ,  78201830
The Spirit  ,  2008  ,  Action; Crime; Fantasy  ,  PG-13  ,  59764  ,  /title/tt0831887/ ,  4.8  ,  30  ,  5.7  ,  4.8  ,  4.8  ,  4.7  ,  4.8  ,  8.0  ,  4.7  ,  4.8  ,  4.7  ,  5.0  ,  4.5  ,  5.2  ,  5.0  ,  4.6  , 6463278  ,  None  ,  19806188  ,  19358253  ,  39164441
